Name of Account, Dollar Value in Millions, Date (yymmdd)
"Unclassified",1041,130208
"Total, Other Withdrawals",1448,130208
"Transfers to Depositaries",0,130208
"Commodity Credit Corporation programs",44,130207
"Defense Vendor Payments",1239,130207
"Education Department programs",954,130207
"Energy Department programs",137,130207
"Federal Employees Insurance Payments",170,130207
"Fed. Highway Administration programs",66,130207
"Federal Salaries",791,130207
"Food and Nutrition Service",366,130207
"GSA programs",44,130207
"Health and Human Services Grants",324,130207
"Housing and Urban Development programs",172,130207
"Interest on Treasury Securities",1,130207
"IRS Tax Refunds Business",97,130207
"IRS Tax Refunds Individual",4370,130207
"Justice Department programs",44,130207
"Labor Dept. prgms",57,130207
"Medicaid",2052,130207
"Medicare",1299,130207
"NASA programs",65,130207
"Postal Service Money Orders and Other",160,130207
"Public Debt Cash Redemp.",127360,130207
"Social Security Benefits",54,130207
"Supple. Nutrition Assist. Program",6,130207
"Transportation Security Admin.",1,130207
"Unemployment Insurance Benefits",225,130207
"Veterans Affairs programs",159,130207
"Emergency Prep &",135,130207
"Federal Crop Ins. Corp.",132,130207
"Unclassified",1263,130207
"Total, Other Withdrawals",1616,130207
"Transfers to Depositaries",0,130207
"Commodity Credit Corporation programs",72,130206
"Defense Vendor Payments",1129,130206
"Education Department programs",1411,130206
"Energy Department programs",64,130206
"Federal Employees Insurance Payments",234,130206
"Fed. Highway Administration programs",146,130206
"Federal Salaries",241,130206
"Food and Nutrition Service",400,130206
"GSA programs",44,130206
"Health and Human Services Grants",263,130206
"Housing and Urban Development programs",181,130206
"Interest on Treasury Securities",1,130206
"IRS Tax Refunds Business",12,130206
"IRS Tax Refunds Individual",6074,130206
"Justice Department programs",45,130206
"Labor Dept. prgms",30,130206
"Medicaid",511,130206
"Medicare",1461,130206
"NASA programs",46,130206
"Postal Service Money Orders and Other",167,130206
"Public Debt Cash Redemp.",839,130206
"Social Security Benefits",56,130206
"Supple. Nutrition Assist. Program",16,130206
"Transportation Security Admin.",1,130206
"Unemployment Insurance Benefits",401,130206
"Veterans Affairs programs",265,130206
"Emergency Prep &",141,130206
"Federal Crop Ins. Corp.",109,130206
"Veterans Benefits",77,130206
"Unclassified",1010,130206
"Total, Other Withdrawals",1539,130206
"Transfers to Depositaries",0,130206
"Commodity Credit Corporation programs",30,130205
"Defense Vendor Payments",1501,130205
"Education Department programs",965,130205
"Energy Department programs",73,130205
"Federal Employees Insurance Payments",235,130205
"Fed. Highway Administration programs",64,130205
"Federal Salaries",697,130205
"Food and Nutrition Service",316,130205
"GSA programs",29,130205
"Health and Human Services Grants",364,130205
"Housing and Urban Development programs",238,130205
"Interest on Treasury Securities",1,130205
"IRS Tax Refunds Business",35,130205
"IRS Tax Refunds Individual",3485,130205
"Justice Department programs",109,130205
"Labor Dept. prgms",36,130205
"Medicaid",1068,130205
"Medicare",1262,130205
"NASA programs",78,130205
"Postal Service Money Orders and Other",210,130205
"Public Debt Cash Redemp.",3553,130205
"Social Security Benefits",19,130205
"Supple. Nutrition Assist. Program",8,130205
"Transportation Security Admin.",2,130205
"Unemployment Insurance Benefits",515,130205
"Veterans Affairs programs",144,130205
"Federal Crop Ins. Corp.",131,130205
"Federal Financing Bank",345,130205
"Unclassified",1358,130205
"Total, Other Withdrawals",2773,130205
"Transfers to Depositaries",0,130205
"Commodity Credit Corporation programs",31,130204
"Defense Vendor Payments",862,130204
"Education Department programs",832,130204
"Energy Department programs",79,130204
"Federal Employees Insurance Payments",189,130204
"Fed. Highway Administration programs",69,130204
"Federal Salaries",1546,130204
"Food and Nutrition Service",677,130204
"GSA programs",46,130204
"Health and Human Services Grants",329,130204
"Housing and Urban Development programs",286,130204
"Interest on Treasury Securities",1,130204
"IRS Tax Refunds Business",442,130204
"IRS Tax Refunds Individual",2945,130204
"Justice Department programs",89,130204
"Labor Dept. prgms",28,130204
"Medicaid",433,130204
"Medicare",1134,130204
"NASA programs",205,130204
"Postal Service Money Orders and Other",270,130204
"Public Debt Cash Redemp.",1011,130204
"Social Security Benefits",33,130204
"Supple. Nutrition Assist. Program",14,130204
"Transportation Security Admin.",0,130204
"Unemployment Insurance Benefits",274,130204
"Veterans Affairs programs",167,130204
"Emergency Prep &",172,130204
"Federal Crop Ins. Corp.",102,130204
"Supple. Security Income Benefits",97,130204
"Unclassified",1560,130204
"Total, Other Withdrawals",2193,130204
"Transfers to Depositaries",0,130204
"Commodity Credit Corporation programs",37,130201
"Defense Vendor Payments",1568,130201
"Education Department programs",1150,130201
"Energy Department programs",148,130201
"Federal Employees Insurance Payments",199,130201
"Fed. Highway Administration programs",299,130201
"Federal Salaries",3458,130201
"Food and Nutrition Service",177,130201
"GSA programs",500,130201
"Health and Human Services Grants",337,130201
"Housing and Urban Development programs",2653,130201
"Interest on Treasury Securities",147,130201
"IRS Tax Refunds Business",36,130201
"IRS Tax Refunds Individual",3543,130201
"Justice Department programs",33,130201
"Labor Dept. prgms",74,130201
"Medicaid",950,130201
"Medicare",18153,130201
"NASA programs",0,130201
"Postal Service Money Orders and Other",115,130201
"Public Debt Cash Redemp.",6554,130201
"Social Security Benefits",24083,130201
"Supple. Nutrition Assist. Program",9,130201
"Transportation Security Admin.",0,130201
"Unemployment Insurance Benefits",150,130201
"Veterans Affairs programs",384,130201
"Civil Service Retirement",5012,130201
"Emergency Prep &",164,130201
"Federal Crop Ins. Corp.",175,130201
"Military Active Duty Pay",3823,130201
"Military Retirement",4050,130201
"Railroad Retirement",979,130201
"Supple. Security Income Benefits",3718,130201
"Treasury Department programs",157,130201
"Veterans Benefits",4464,130201
"Unclassified",684,130201
"Total, Other Withdrawals",23838,130201
"Transfers to Depositaries",0,130201
"Commodity Credit Corporation programs",64,130131
"Defense Vendor Payments",1010,130131
"Education Department programs",1318,130131
"Energy Department programs",272,130131
"Federal Employees Insurance Payments",217,130131
"Fed. Highway Administration programs",77,130131
"Federal Salaries",134,130131
"Food and Nutrition Service",140,130131
"GSA programs",98,130131
"Health and Human Services Grants",1068,130131
"Housing and Urban Development programs",182,130131
"Interest on Treasury Securities",5716,130131
"IRS Tax Refunds Business",189,130131
"IRS Tax Refunds Individual",0,130131
"Justice Department programs",41,130131
"Labor Dept. prgms",60,130131
"Medicaid",1578,130131
"Medicare",1362,130131
"NASA programs",1,130131
"Postal Service Money Orders and Other",323,130131
"Public Debt Cash Redemp.",152751,130131
"Social Security Benefits",0,130131
"Supple. Nutrition Assist. Program",24,130131
"Transportation Security Admin.",0,130131
"Unemployment Insurance Benefits",247,130131
"Veterans Affairs programs",172,130131
"Emergency Prep &",99,130131
"Federal Crop Ins. Corp.",146,130131
"Federal Financing Bank",120,130131
"Unclassified",873,130131
"Total, Other Withdrawals",1989,130131
"Transfers to Depositaries",0,130131
"Commodity Credit Corporation programs",46,130130
"Defense Vendor Payments",1016,130130
"Education Department programs",1664,130130
"Energy Department programs",133,130130
"Federal Employees Insurance Payments",256,130130
"Fed. Highway Administration programs",191,130130
"Federal Salaries",146,130130
"Food and Nutrition Service",173,130130
"GSA programs",51,130130
"Health and Human Services Grants",405,130130
"Housing and Urban Development programs",216,130130
"Interest on Treasury Securities",1,130130
"IRS Tax Refunds Business",9,130130
"IRS Tax Refunds Individual",0,130130
"Justice Department programs",30,130130
"Labor Dept. prgms",67,130130
"Medicaid",795,130130
"Medicare",1627,130130
"NASA programs",0,130130
"Postal Service Money Orders and Other",82,130130
"Public Debt Cash Redemp.",904,130130
"Social Security Benefits",1,130130
"Supple. Nutrition Assist. Program",11,130130
"Transportation Security Admin.",1,130130
"Unemployment Insurance Benefits",405,130130
"Veterans Affairs programs",168,130130
"Emergency Prep &",164,130130
"Federal Crop Ins. Corp.",160,130130
"Unclassified",347,130130
"Total, Other Withdrawals",1999,130130
"Transfers to Depositaries",0,130130
"Commodity Credit Corporation programs",39,130129
"Defense Vendor Payments",1656,130129
"Education Department programs",1473,130129
"Energy Department programs",102,130129
"Federal Employees Insurance Payments",263,130129
"Fed. Highway Administration programs",89,130129
"Federal Salaries",36,130129
"Food and Nutrition Service",249,130129
"GSA programs",52,130129
"Health and Human Services Grants",433,130129
"Housing and Urban Development programs",198,130129
"Interest on Treasury Securities",2,130129
"IRS Tax Refunds Business",386,130129
"IRS Tax Refunds Individual",0,130129
"Justice Department programs",52,130129
"Labor Dept. prgms",47,130129
"Medicaid",895,130129
"Medicare",1422,130129
"NASA programs",69,130129
"Postal Service Money Orders and Other",99,130129
"Public Debt Cash Redemp.",847,130129
"Social Security Benefits",3,130129
"Supple. Nutrition Assist. Program",12,130129
"Transportation Security Admin.",1,130129
"Unemployment Insurance Benefits",537,130129
"Veterans Affairs programs",234,130129
"Emergency Prep &",61,130129
"Federal Crop Ins. Corp.",123,130129
"Unclassified",821,130129
"Total, Other Withdrawals",1562,130129
"Transfers to Depositaries",0,130129
"Commodity Credit Corporation programs",56,130128
"Defense Vendor Payments",1505,130128
"Education Department programs",1773,130128
"Energy Department programs",111,130128
"Federal Employees Insurance Payments",257,130128
"Fed. Highway Administration programs",161,130128
"Federal Salaries",81,130128
"Food and Nutrition Service",389,130128
"GSA programs",51,130128
"Health and Human Services Grants",292,130128
"Housing and Urban Development programs",227,130128
"Interest on Treasury Securities",2,130128
"IRS Tax Refunds Business",0,130128
"IRS Tax Refunds Individual",0,130128
"Justice Department programs",48,130128
"Labor Dept. prgms",79,130128
"Medicaid",661,130128
"Medicare",1391,130128
"NASA programs",56,130128
"Postal Service Money Orders and Other",164,130128
"Public Debt Cash Redemp.",848,130128
"Social Security Benefits",1,130128
"Supple. Nutrition Assist. Program",17,130128
"Transportation Security Admin.",1,130128
"Unemployment Insurance Benefits",226,130128
"Veterans Affairs programs",153,130128
"Emergency Prep &",175,130128
"Federal Crop Ins. Corp.",137,130128
"Unclassified",902,130128
"Total, Other Withdrawals",1846,130128
"Transfers to Depositaries",0,130128
"Commodity Credit Corporation programs",40,130125
"Defense Vendor Payments",1533,130125
"Education Department programs",1677,130125
"Energy Department programs",186,130125
"Federal Employees Insurance Payments",361,130125
"Fed. Highway Administration programs",180,130125
"Federal Salaries",91,130125
"Food and Nutrition Service",206,130125
"GSA programs",50,130125
"Health and Human Services Grants",381,130125
"Housing and Urban Development programs",196,130125
"Interest on Treasury Securities",0,130125
"IRS Tax Refunds Business",232,130125
"IRS Tax Refunds Individual",0,130125
"Justice Department programs",90,130125
"Labor Dept. prgms",56,130125
"Medicaid",599,130125
"Medicare",1611,130125
"NASA programs",93,130125
"Postal Service Money Orders and Other",87,130125
"Public Debt Cash Redemp.",854,130125
"Social Security Benefits",62,130125
"Supple. Nutrition Assist. Program",6,130125
"Transportation Security Admin.",1,130125
"Unemployment Insurance Benefits",170,130125
"Veterans Affairs programs",210,130125
"Emergency Prep &",213,130125
"Federal Crop Ins. Corp.",170,130125
"Treasury Department programs",129,130125
"Unclassified",771,130125
"Total, Other Withdrawals",1835,130125
"Transfers to Depositaries",0,130125
"Commodity Credit Corporation programs",48,130124
"Defense Vendor Payments",1174,130124
"Education Department programs",2019,130124
"Energy Department programs",126,130124
"Federal Employees Insurance Payments",846,130124
"Fed. Highway Administration programs",78,130124
"Federal Salaries",798,130124
"Food and Nutrition Service",211,130124
"GSA programs",89,130124
"Health and Human Services Grants",345,130124
"Housing and Urban Development programs",190,130124
"Interest on Treasury Securities",2,130124
"IRS Tax Refunds Business",18,130124
"IRS Tax Refunds Individual",0,130124
"Justice Department programs",63,130124
"Labor Dept. prgms",83,130124
"Medicaid",1879,130124
"Medicare",2465,130124
"NASA programs",62,130124
"Postal Service Money Orders and Other",113,130124
"Public Debt Cash Redemp.",100462,130124
"Social Security Benefits",56,130124
"Supple. Nutrition Assist. Program",6,130124
"Transportation Security Admin.",1,130124
"Unemployment Insurance Benefits",361,130124
"Veterans Affairs programs",183,130124
"Emergency Prep &",53,130124
"Federal Crop Ins. Corp.",188,130124
"Veterans Benefits",67,130124
"Unclassified",741,130124
"Total, Other Withdrawals",2038,130124
"Transfers to Depositaries",0,130124
"Commodity Credit Corporation programs",64,130123
"Defense Vendor Payments",1820,130123
"Education Department programs",2281,130123
"Energy Department programs",119,130123
"Federal Employees Insurance Payments",251,130123
"Fed. Highway Administration programs",64,130123
"Federal Salaries",69,130123
"Food and Nutrition Service",253,130123
"GSA programs",35,130123
"Health and Human Services Grants",359,130123
"Housing and Urban Development programs",216,130123
"Interest on Treasury Securities",1,130123
"IRS Tax Refunds Business",59,130123
"IRS Tax Refunds Individual",0,130123
"Justice Department programs",58,130123
"Labor Dept. prgms",28,130123
"Medicaid",872,130123
"Medicare",2434,130123
"NASA programs",54,130123
"Postal Service Money Orders and Other",146,130123
"Public Debt Cash Redemp.",856,130123
"Social Security Benefits",11556,130123
"Supple. Nutrition Assist. Program",5,130123
"Transportation Security Admin.",1,130123
"Unemployment Insurance Benefits",560,130123
"Veterans Affairs programs",153,130123
"Emergency Prep &",135,130123
"Federal Crop Ins. Corp.",218,130123
"International Monetary Fund",105,130123
"Unclassified",677,130123
"Total, Other Withdrawals",2028,130123
"Transfers to Depositaries",0,130123
"Commodity Credit Corporation programs",99,130122
"Defense Vendor Payments",1762,130122
"Education Department programs",1450,130122
"Energy Department programs",98,130122
"Federal Employees Insurance Payments",189,130122
"Fed. Highway Administration programs",136,130122
"Federal Salaries",1724,130122
"Food and Nutrition Service",953,130122
"GSA programs",18,130122
"Health and Human Services Grants",361,130122
"Housing and Urban Development programs",141,130122
"Interest on Treasury Securities",2,130122
"IRS Tax Refunds Business",3,130122
"IRS Tax Refunds Individual",0,130122
"Justice Department programs",65,130122
"Labor Dept. prgms",31,130122
"Medicaid",392,130122
"Medicare",1979,130122
"NASA programs",29,130122
"Postal Service Money Orders and Other",265,130122
"Public Debt Cash Redemp.",1141,130122
"Social Security Benefits",39,130122
"Supple. Nutrition Assist. Program",6,130122
"Transportation Security Admin.",25,130122
"Unemployment Insurance Benefits",416,130122
"Veterans Affairs programs",218,130122
"Emergency Prep &",90,130122
"Federal Crop Ins. Corp.",149,130122
"Unclassified",1032,130122
"Total, Other Withdrawals",1996,130122
"Transfers to Depositaries",0,130122
"Commodity Credit Corporation programs",146,130118
"Defense Vendor Payments",1366,130118
"Education Department programs",1883,130118
"Energy Department programs",153,130118
"Federal Employees Insurance Payments",163,130118
"Fed. Highway Administration programs",109,130118
"Federal Salaries",3043,130118
"Food and Nutrition Service",320,130118
"GSA programs",60,130118
"Health and Human Services Grants",416,130118
"Housing and Urban Development programs",225,130118
"Interest on Treasury Securities",1,130118
"IRS Tax Refunds Business",104,130118
"IRS Tax Refunds Individual",0,130118
"Justice Department programs",63,130118
"Labor Dept. prgms",63,130118
"Medicaid",888,130118
"Medicare",1540,130118
"NASA programs",32,130118
"Postal Service Money Orders and Other",157,130118
"Public Debt Cash Redemp.",947,130118
"Social Security Benefits",49,130118
"Supple. Nutrition Assist. Program",52,130118
"Transportation Security Admin.",1,130118
"Unemployment Insurance Benefits",136,130118
"Veterans Affairs programs",161,130118
"Emergency Prep &",144,130118
"Federal Crop Ins. Corp.",143,130118
"International Monetary Fund",1631,130118
"Treasury Department programs",55,130118
"Unclassified",836,130118
"Total, Other Withdrawals",3319,130118
"Transfers to Depositaries",0,130118
"Commodity Credit Corporation programs",334,130117
"Defense Vendor Payments",1889,130117
"Education Department programs",1855,130117
"Energy Department programs",168,130117
"Federal Employees Insurance Payments",174,130117
"Fed. Highway Administration programs",129,130117
"Federal Salaries",74,130117
"Food and Nutrition Service",429,130117
"GSA programs",118,130117
"Health and Human Services Grants",389,130117
"Housing and Urban Development programs",197,130117
"Interest on Treasury Securities",1,130117
"IRS Tax Refunds Business",51,130117
"IRS Tax Refunds Individual",0,130117
"Justice Department programs",61,130117
"Labor Dept. prgms",68,130117
"Medicaid",2400,130117
"Medicare",1065,130117
"NASA programs",53,130117
"Postal Service Money Orders and Other",110,130117
"Public Debt Cash Redemp.",100415,130117
"Social Security Benefits",47,130117
"Supple. Nutrition Assist. Program",17,130117
"Transportation Security Admin.",1,130117
"Unemployment Insurance Benefits",257,130117
"Veterans Affairs programs",181,130117
"Emergency Prep &",110,130117
"Federal Crop Ins. Corp.",191,130117
"Treasury Department programs",122,130117
"Unclassified",714,130117
"Total, Other Withdrawals",1648,130117
"Transfers to Depositaries",0,130117
"Commodity Credit Corporation programs",167,130116
"Defense Vendor Payments",1071,130116
"Education Department programs",1912,130116
"Energy Department programs",130,130116
"Federal Employees Insurance Payments",291,130116
"Fed. Highway Administration programs",101,130116
"Federal Salaries",77,130116
"Food and Nutrition Service",421,130116
"GSA programs",41,130116
"Health and Human Services Grants",328,130116
"Housing and Urban Development programs",171,130116
"Interest on Treasury Securities",1,130116
"IRS Tax Refunds Business",56,130116
"IRS Tax Refunds Individual",0,130116
"Justice Department programs",45,130116
"Labor Dept. prgms",49,130116
"Medicaid",1057,130116
"Medicare",924,130116
"NASA programs",34,130116
"Postal Service Money Orders and Other",98,130116
"Public Debt Cash Redemp.",939,130116
"Social Security Benefits",11330,130116
"Supple. Nutrition Assist. Program",15,130116
"Transportation Security Admin.",1,130116
"Unemployment Insurance Benefits",395,130116
"Veterans Affairs programs",153,130116
"Federal Crop Ins. Corp.",162,130116
"Unclassified",750,130116
"Total, Other Withdrawals",1364,130116
"Transfers to Depositaries",0,130116
"Commodity Credit Corporation programs",79,130115
"Defense Vendor Payments",1656,130115
"Education Department programs",1627,130115
"Energy Department programs",145,130115
"Federal Employees Insurance Payments",254,130115
"Fed. Highway Administration programs",117,130115
"Federal Salaries",186,130115
"Food and Nutrition Service",448,130115
"GSA programs",60,130115
"Health and Human Services Grants",403,130115
"Housing and Urban Development programs",194,130115
"Interest on Treasury Securities",5290,130115
"IRS Tax Refunds Business",5,130115
"IRS Tax Refunds Individual",0,130115
"Justice Department programs",72,130115
"Labor Dept. prgms",47,130115
"Medicaid",649,130115
"Medicare",984,130115
"NASA programs",42,130115
"Postal Service Money Orders and Other",121,130115
"Public Debt Cash Redemp.",43556,130115
"Social Security Benefits",45,130115
"Supple. Nutrition Assist. Program",17,130115
"Transportation Security Admin.",1,130115
"Unemployment Insurance Benefits",523,130115
"Veterans Affairs programs",154,130115
"Emergency Prep &",112,130115
"Federal Crop Ins. Corp.",166,130115
"Military Active Duty Pay",2774,130115
"Unclassified",719,130115
"Total, Other Withdrawals",4662,130115
"Transfers to Depositaries",0,130115
"Commodity Credit Corporation programs",59,130114
"Defense Vendor Payments",1459,130114
"Education Department programs",1803,130114
"Energy Department programs",113,130114
"Federal Employees Insurance Payments",272,130114
"Fed. Highway Administration programs",137,130114
"Federal Salaries",101,130114
"Food and Nutrition Service",937,130114
"GSA programs",52,130114
"Health and Human Services Grants",422,130114
"Housing and Urban Development programs",304,130114
"Interest on Treasury Securities",1,130114
"IRS Tax Refunds Business",14,130114
"IRS Tax Refunds Individual",3,130114
"Justice Department programs",76,130114
"Labor Dept. prgms",33,130114
"Medicaid",773,130114
"Medicare",1297,130114
"NASA programs",38,130114
"Postal Service Money Orders and Other",181,130114
"Public Debt Cash Redemp.",1556,130114
"Social Security Benefits",49,130114
"Supple. Nutrition Assist. Program",68,130114
"Transportation Security Admin.",1,130114
"Unemployment Insurance Benefits",254,130114
"Veterans Affairs programs",177,130114
"Federal Crop Ins. Corp.",159,130114
"Unclassified",1158,130114
"Total, Other Withdrawals",1611,130114
"Transfers to Depositaries",0,130114
"Commodity Credit Corporation programs",54,130111
"Defense Vendor Payments",1372,130111
"Education Department programs",1463,130111
"Energy Department programs",119,130111
"Federal Employees Insurance Payments",155,130111
"Fed. Highway Administration programs",59,130111
"Federal Salaries",76,130111
"Food and Nutrition Service",447,130111
"GSA programs",76,130111
"Health and Human Services Grants",366,130111
"Housing and Urban Development programs",143,130111
"Interest on Treasury Securities",1,130111
"IRS Tax Refunds Business",19,130111
"IRS Tax Refunds Individual",0,130111
"Justice Department programs",72,130111
"Labor Dept. prgms",138,130111
"Medicaid",740,130111
"Medicare",1290,130111
"NASA programs",41,130111
"Postal Service Money Orders and Other",135,130111
"Public Debt Cash Redemp.",975,130111
"Social Security Benefits",38,130111
"Supple. Nutrition Assist. Program",16,130111
"Transportation Security Admin.",1,130111
"Unemployment Insurance Benefits",131,130111
"Veterans Affairs programs",182,130111
"Federal Crop Ins. Corp.",165,130111
"Unclassified",1000,130111
"Total, Other Withdrawals",1448,130111
"Transfers to Depositaries",0,130111
"Commodity Credit Corporation programs",94,130110
"Defense Vendor Payments",1465,130110
"Education Department programs",1399,130110
"Energy Department programs",129,130110
"Federal Employees Insurance Payments",799,130110
"Fed. Highway Administration programs",114,130110
"Federal Salaries",792,130110
"Food and Nutrition Service",428,130110
"GSA programs",54,130110
"Health and Human Services Grants",316,130110
"Housing and Urban Development programs",170,130110
"Interest on Treasury Securities",2,130110
"IRS Tax Refunds Business",30,130110
"IRS Tax Refunds Individual",11,130110
"Justice Department programs",54,130110
"Labor Dept. prgms",55,130110
"Medicaid",1142,130110
"Medicare",1007,130110
"NASA programs",30,130110
"Postal Service Money Orders and Other",153,130110
"Public Debt Cash Redemp.",125974,130110
"Social Security Benefits",42,130110
"Supple. Nutrition Assist. Program",7,130110
"Transportation Security Admin.",1,130110
"Unemployment Insurance Benefits",227,130110
"Veterans Affairs programs",127,130110
"Emergency Prep &",107,130110
"Federal Crop Ins. Corp.",148,130110
"Unclassified",841,130110
"Total, Other Withdrawals",1358,130110
"Transfers to Depositaries",0,130110
"Commodity Credit Corporation programs",49,130109
"Defense Vendor Payments",1212,130109
"Education Department programs",1997,130109
"Energy Department programs",78,130109
"Federal Employees Insurance Payments",209,130109
"Fed. Highway Administration programs",195,130109
"Federal Salaries",91,130109
"Food and Nutrition Service",441,130109
"GSA programs",92,130109
"Health and Human Services Grants",308,130109
"Housing and Urban Development programs",234,130109
"Interest on Treasury Securities",1,130109
"IRS Tax Refunds Business",17,130109
"IRS Tax Refunds Individual",1,130109
"Justice Department programs",49,130109
"Labor Dept. prgms",48,130109
"Medicaid",314,130109
"Medicare",612,130109
"NASA programs",40,130109
"Postal Service Money Orders and Other",133,130109
"Public Debt Cash Redemp.",861,130109
"Social Security Benefits",11529,130109
"Supple. Nutrition Assist. Program",26,130109
"Transportation Security Admin.",1,130109
"Unemployment Insurance Benefits",369,130109
"Veterans Affairs programs",132,130109
"Emergency Prep &",245,130109
"Federal Crop Ins. Corp.",218,130109
"Unclassified",736,130109
"Total, Other Withdrawals",1471,130109
"Transfers to Depositaries",0,130109
"Commodity Credit Corporation programs",372,130108
"Defense Vendor Payments",1580,130108
"Education Department programs",2270,130108
"Energy Department programs",60,130108
"Federal Employees Insurance Payments",178,130108
"Fed. Highway Administration programs",83,130108
"Federal Salaries",501,130108
"Food and Nutrition Service",495,130108
"GSA programs",22,130108
"Health and Human Services Grants",612,130108
"Housing and Urban Development programs",184,130108
"Interest on Treasury Securities",1,130108
"IRS Tax Refunds Business",28,130108
"IRS Tax Refunds Individual",0,130108
"Justice Department programs",50,130108
"Labor Dept. prgms",26,130108
"Medicaid",2123,130108
"Medicare",945,130108
"NASA programs",56,130108
"Postal Service Money Orders and Other",219,130108
"Public Debt Cash Redemp.",872,130108
"Social Security Benefits",30,130108
"Supple. Nutrition Assist. Program",5,130108
"Transportation Security Admin.",1,130108
"Unemployment Insurance Benefits",533,130108
"Veterans Affairs programs",124,130108
"Emergency Prep &",499,130108
"Federal Crop Ins. Corp.",96,130108
"Unclassified",974,130108
"Total, Other Withdrawals",2240,130108
"Transfers to Depositaries",0,130108
"Commodity Credit Corporation programs",98,130107
"Defense Vendor Payments",1149,130107
"Education Department programs",1611,130107
"Energy Department programs",76,130107
"Federal Employees Insurance Payments",190,130107
"Fed. Highway Administration programs",96,130107
"Federal Salaries",1394,130107
"Food and Nutrition Service",844,130107
"GSA programs",27,130107
"Health and Human Services Grants",331,130107
"Housing and Urban Development programs",161,130107
"Interest on Treasury Securities",1,130107
"IRS Tax Refunds Business",1,130107
"IRS Tax Refunds Individual",0,130107
"Justice Department programs",102,130107
"Labor Dept. prgms",31,130107
"Medicaid",615,130107
"Medicare",1077,130107
"NASA programs",24,130107
"Postal Service Money Orders and Other",291,130107
"Public Debt Cash Redemp.",932,130107
"Social Security Benefits",21,130107
"Supple. Nutrition Assist. Program",10,130107
"Transportation Security Admin.",1,130107
"Unemployment Insurance Benefits",280,130107
"Veterans Affairs programs",323,130107
"Emergency Prep &",483,130107
"Federal Crop Ins. Corp.",231,130107
"Treasury Department programs",135,130107
"Veterans Benefits",50,130107
"Unclassified",1765,130107
"Total, Other Withdrawals",2865,130107
"Transfers to Depositaries",0,130107
"Commodity Credit Corporation programs",138,130104
"Defense Vendor Payments",1292,130104
"Education Department programs",2238,130104
"Energy Department programs",134,130104
"Federal Employees Insurance Payments",280,130104
"Fed. Highway Administration programs",142,130104
"Federal Salaries",3076,130104
"Food and Nutrition Service",337,130104
"GSA programs",28,130104
"Health and Human Services Grants",282,130104
"Housing and Urban Development programs",252,130104
"Interest on Treasury Securities",1,130104
"IRS Tax Refunds Business",0,130104
"IRS Tax Refunds Individual",0,130104
"Justice Department programs",103,130104
"Labor Dept. prgms",64,130104
"Medicaid",684,130104
"Medicare",1433,130104
"NASA programs",78,130104
"Postal Service Money Orders and Other",171,130104
"Public Debt Cash Redemp.",924,130104
"Social Security Benefits",15,130104
"Supple. Nutrition Assist. Program",4,130104
"Transportation Security Admin.",2,130104
"Unemployment Insurance Benefits",228,130104
"Veterans Affairs programs",122,130104
"Federal Crop Ins. Corp.",163,130104
"Unclassified",1642,130104
"Total, Other Withdrawals",2720,130104
"Transfers to Depositaries",0,130104
"Commodity Credit Corporation programs",30,130103
"Defense Vendor Payments",992,130103
"Education Department programs",1873,130103
"Energy Department programs",153,130103
"Federal Employees Insurance Payments",245,130103
